"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19TCRMT","TERMINI IMERESE C.LE","1242","1242","019082070","380","17.11.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Oil","26WIMPI-S19SDMCS","SAN FILIPPO DEL MELA","866","866","019083077","220","17.11.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19PCRLE","PRIOLO C.LE","743","743","019089021","220","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Coal-derived gas","26WIMPI-S19IESBL","ISAB ENERGY","544","576","019089021","380","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Pumped Storage","26WIMYI-S19ANPAB","ANAPO C.LE","500","500","019089021","220","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19APGPP","CTE NUCE NORD","446","446","019089017","380","23.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19TCRPN","TRAPANI C.LE","212","212","019081021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19TMRC9","MILAZZO","145","145","019083049","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19PERTR","PORTO EMPEDOCLE C.LE","140","140","019084028","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-00358944","Rocca Rossa","84","84","019084009","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S19EPRGR","IMPSUD","81","81","019089021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Pumped Storage","26WIMPI-S19GCDLR","GUADALAMI C.LE","80","80","019082057","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19FCRNN","FRANCOFONTE","72","72","019089010","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEEM4","EOLO TEMPIO PAUSANIA","71","71","019087037","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEDM7","PARCO EOLICO DI MAZARA DEL VALLO","66","66","019081012","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19PETSN","TRAPANI-SALEMI","66","66","019081021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEDCR","PARCO EOLICO DI PRIZZI E CORLEONE","60","60","019082060","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-05318347","GTG101/GTG501","53","53","019089001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19PERRV","PARCO EOLICO REGALBUTO","49","50","019086016","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-1176706O","FV Mazara","N/A","50","019081012","220","04.07.2022",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19GPRN3","GREENPATTI","48","48","019083066","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19SMCRT","SERRA MARROCCO","46","46","019086012","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19GRRTK","GIARRATANA","46","46","019087054","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19LAGRQ","LAGO ARANCIO","44","44","019084034","220","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19PEMR9","PARCO EOLICO MINEO","43","43","019087027","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-0848721W","CHPP-Augusta","41","41","019089001","150","01.01.2016",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0214118E","DELL'ALVANO E AQUILEA","41","41","019084014","220","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-10773227","IMPIANTO EOLICO ELIMI","39","39","019081011","220","27.11.2021",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19V1CRO","CENTRALE EOLICA VICARI UNO","38","38","019082078","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CCMR8","CONTRADA CORVO - COZZO MITURRO","38","38","019082015","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CLLA9","CALLARI","36","36","019087054","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S19CCNT1","CONTRASTO C.LE","35","35","019087006","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MPWPS","MONTE PETRASI","34","34","019084001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-1227351G","FV PATERNO'","N/A","33","019087033","150","15.07.2022",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0358706K","PARCO EOLICO ALCAMO","32","32","019081001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19SNNTP","SANTA NINFA","32","32","019081019","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MSTI2","MISTRETTA","30","30","019083052","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEDN5","PARCO EOLICO DI PALERMO","30","30","019082030","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19GNCHV","GIUNCHETTO","29","30","019086013","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-11336696","Mazara del Vallo 2","N/A","29","019081012","150","22.07.2022",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0774412H","serradelvento","28","28","019082036","150","31.07.2021",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MZCNF","MONTE ZIMMARA","27","27","019082036","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-07739959","portella pero","27","27","019082024","150","07.01.2019",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19ASLCO","ALIA SCLAFANI","26","26","019082001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19SCLMF","SALEMI","26","26","019081018","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-V19MCNLH","VIZZINI","25","25","019087027","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MDENN","MONTE DURRA'","25","25","019084021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MCNL4","MINEO-MILITELLO","24","24","019087027","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0385721L","Vento DI Vino","24","24","019081012","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPINAGRTT-1O","TROINA","24","24","019086018","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0303396R","Nebrodi Nord","24","24","019083069","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-C19CCRLM","CARLENTINI","24","24","019089006","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0304843N","Alcantara Nord","24","24","019083023","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0304850Q","Alcantara Sud","24","24","019083025","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19PEVRJ","VIZZINI","23","24","019087054","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CDLS5","CASTEL DI LUCIO","23","23","019083013","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-B19CCRLU","CARLENTINI-B","23","23","019089006","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19LECDD","LICODIA EUBEA","22","22","019087020","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0221669N","Petralia Sottana","22","22","019082056","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19RFCZ9","ROCCA FICUZZA","22","22","019084007","220","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0599705G","Parco Eolico Buseto","22","22","019081002","150","06.07.2016",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEMMH","MIMIANI","22","22","019085004","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19IEDP1","IMPIANTO EOLICO DI MARINEO","22","22","019082080","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0301899B","Nebrodi Ovest","20","20","019083022","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-C19PCRTF","CAMPOREALE","20","20","019082019","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0198971S","Trapani Contrada Coniglia","20","20","019081021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MNENK","MONTE NARBONE","20","20","019084001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0304834O","Nebrodi Est","20","20","019083057","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-0122141U","Matos","19","19","019081021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Biomass","26WIMPI-0163877Q","ENNA","18","18","019086009","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0770583A","BUTERA2","18","18","019085003","150","12.05.2018",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0910443B","SICULIANA1","17","17","019084042","150","23.12.2018",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19PCRTZ","PARTINICO","16","16","019082054","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19MMENO","MONTE MALVIZZO","16","16","019084001","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-03590511","Costa del Pidocchio","16","16","019085003","150","22.11.2016",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0890589G","Mazara del Vallo","15","15","019081012","150","09.12.2018",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-1128801D","PARCO EOLICO ALCAMO II","14","14","019081001","150","24.12.2020",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CECEJ","CACCAMO","14","14","019082014","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0859080X","PARTANNA EOLICO","14","14","019081015","150","23.04.2021",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-00834908","PRIOLO GARGALLO","13","13","019089021","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S19PTRNG","PATERNO' C.LE","12","13","019087033","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CVZZP","COZZO VALLEFONDI 1","10","10","019082051","20","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S19BCRCS","BARCA CLE","9","9","019087033","20","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S19CSZZ0","CASUZZE","8","8","019082053","20","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19C2RL8","CARLENTINI 2","0","0","019089006","150","31.12.2014",""
"BZN|IT-Sicily / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S19CCNR5","CONTRADA COLLA","0","0","019082015","150","31.12.2014",""
